PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
563-83*6,Malus 'Professor Sprenger',Professor Sprenger Crabapple,,g,The Morton Arboretum,,,,Malus,east section,A-74,66-24,
194-2006*2,Malus 'Purple Prince',Purple Prince Crabapple,,g,Klehm's Song Sparrow Farm and Nursery,,,,West Malus,,BB-27,85-03,
173-2017*2,Malus pumila 'Liberty',Liberty Common Apple,,g,McKay Nursery Co.,,,,Gateway to Tree Science,,D-104,42-60,
116-45*1,Malus spontanea,Hall's Crabapple,,g,,,,,West Malus,,X-30,25-10,
284-97*1,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Education Support Building,northeast triangle,NN-32,86-05,
688-73*1,Malus 'Golden Spires',Golden Spires Crabapple,,g,Mission Gardens,,,,Malus,east section,D-76,80-85,
137-64*2,Malus floribunda,Japanese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,west section,AZ-69,95-05,
19-2007*2,Malus 'Orange',Orange Crabapple,,g,The Morton Arboretum,,,,West Malus,,Z-30,88-78,
104-89*1,Malus 'Hyslop',Hyslop Crabapple,,g,Hilltop Orchards and Nurseries,,,,Malus,east section,C-83,14-22,
111-93*2,Malus toringoides,Cut-leaved Crabapple,,z,Holden Arboretum,China (PRC),?,"China (PRC), Anhui, from P'i River Valley",Malus,east section,E-77,43-10,
99-85*2,Malus 'Jewelberry',Jewelberry Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,W-30,62-92,
165-76*2,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,"Simpson Orchard Co., Inc.",,,,Malus,east section,D-77,80-55,
221-94*1,Malus 'Joy Morton',Crabapple,MORNING SUN,g,Chicagoland Grows,,,,Forest Road,south side,K-97,06-48,
197-94*1,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,OO-31,93-84,
77-2006*2,Malus 'Canary',Canary Crabapple,,g,Simpson Nursery Co.,,,,West Malus,,AA-30,64-11,
414-2004*3,Malus 'Orange Crush',Orange Crush Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,H-69,33-88,
284-97*12,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Education Support Building,northeast triangle,OO-31,09-83,
19-98*2,Malus sieboldii,Toringo Crabapple,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Tochigi, near Nasu town, Nasu-gun, north of Tokyo",Japan,,BB-60,37-59,
42-97*3,Malus coronaria,Wild Sweet Crabapple,,w,The Holden Arboretum,United States of America,?,"United States of America, Ohio, Ashtabula, in the North Kingsville Sand Barrens",Malus,east section,G-76,25-54,
278-93*3,Malus robusta 'Persicifolia',Peach-leaved Cherry Crabapple,,z,The Morton Arboretum,China (PRC),"Purdom, W","China (PRC), near Peking, along road to Wutai Shan",Malus,east section,F-77,01-60,
416-2004*1,Malus 'Pumpkin Pie',Pumpkin Pie Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,E-68,48-90,
21-2007*1,Malus pumila 'Niedzwetzkyana',Red-veined Crabapple,,g,The Morton Arboretum,,,,Malus,west section,A-68,27-40,
279-93*2,Malus rockii,Rock's Crabapple,,g,The Morton Arboretum,,,,Malus,east section,G-77,06-59,
181-2001*1,Malus sieboldii,Toringo Crabapple,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Gunma, at Akagi Village, Seta-gun",Japan,,AA-60,48-80,
56-86*6,Malus 'Adams',Adams Crabapple,,g,King Nursery,,,,Meadow Lake,south side,M-51,20-11,
170-2016*1,Malus 'Purple Prince',Purple Prince Crabapple,,g,Hinsdale Nurseries Inc.,,,,Gateway to Tree Science,,F-101,13-05,
696-58*2,Malus,Apple,,g,"Department of Pomology, University of Illinois at Champaign Urbana",,,,Malus,east section,C-77,20-95,
47-84*3,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,Z-31,54-04,
191-2010*1,Malus 'Ballerina',Ballerina Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Malus,west section,I-70,97-43,
90-94*3,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,68-21,
1116-56*2,Malus adstringens,Astringent Crabapple,,g,The Morton Arboretum,,,,Malus,east section,AY-75,85-80,
116-2011*2,Malus 'JFS-KW5',Crabapple,ROYAL RAINDROPS,g,"P.P. & O. Nursery, LLC",,,,Thornhill Building,south side,II-28,12-61,
1189-56*5,Malus 'Redford',Redford Crabapple,,g,The Morton Arboretum,,,,Tollway Berm,west berm,AX-50,95-80,
206-95*2,Malus sargentii,Sargent's Crabapple,,g,Klehm Nursery,,,,Thornhill Building,founder's room,JJ-27,71-00,
92-90*2,Malus baccata 'Jackii',Jack Siberian Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-72,51-15,
570-83*1,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Malus,west section,F-69,13-54,
1441-2004*1,Malus,Apple,,g,David Listerman & Associates,,,,Entrance Drive,,Q-42,72-77,
102-2003*1,Malus 'Alexis',Alexis Crabapple,,g,The Morton Arboretum,,,,Malus,west section,H-70,18-53,
576-29*1,Malus baccata,Siberian Crabapple,,g,Boyce Thompson Institute,,,,China,central section,CC-66,20-52,
50-84*2,Malus 'Liset',Liset Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,X-31,42-04,
90-94*2,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,68-07,
106-86*4,Malus 'Strawberry Parfait',Strawberry Parfait Crabapple,,g,Princeton Nurseries,,,,West Malus,,Y-26,47-48,
192-2017*1,Malus 'Coralcole',Crabapple,CORALBURST,g,Johnson's Nursery,,,,Malus,,F-68,48-22,
79-2006*2,Malus 'Pink Satin',Pink Satin Crabapple,,g,Simpson Nursery Co.,,,,Malus,west section,J-70,45-73,
150-64*2,Malus robusta 'Persicifolia',Peach-leaved Cherry Crabapple,,z,The Morton Arboretum,China (PRC),"Purdom, W","China (PRC), near Peking, along road to Wutai Shan",Malus,east section,C-79,90-60,
559-83*1,Malus 'Frettingham Victoria',Frettingham Victoria Crabapple,,g,The Morton Arboretum,,,,West Malus,,X-30,79-12,
105-2006*1,Malus 'Doubloons',Doubloons Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,F-70,64-18,
420-2004*3,Malus 'May's Delight',May's Delight Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,H-70,20-10,
411-2004*2,Malus 'Adirondack',Adirondack Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,E-69,12-32,
538-66*2,Malus coronaria,Wild Sweet Crabapple,,g,"Highland Botanical Park, County of Monroe Department of Parks",,,,Malus,west section,G-69,80-90,
221-94*3,Malus 'Joy Morton',Crabapple,MORNING SUN,g,Chicagoland Grows,,,,Malus,west section,F-69,71-61,
590-2005*1,Malus 'Prairifire',Prairifire Crabapple,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,The Grotto,H-54,83-59,
42-84*1,Malus 'Mary Potter',Mary Potter Crabapple,,g,"Simpson Orchard Co., Inc.",,,,West Malus,,W-31,97-58,
396-2004*5,Malus halliana,Hall's Crabapple,,z,The Morton Arboretum,China (PRC),?,"China (PRC), Sichuan, on Emei, Leshan, Qingchengshan, and Jinfoshan mountains and from Jiuzhaigou area",China,south section,W-64,36-02,
333-79*2,Malus sieboldii var. arborescens,Toringo Crabapple,,w,United States National Arboretum,Japan,?,"Japan, Tochigi, Nikko, Lake Chugenji",Hatch Meadow,,DD-38,65-76,
103-2001*1,Malus hupehensis,Tea Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",West Malus,,Y-29,68-29,
91-94*3,Malus floribunda,Japanese Flowering Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AZ-48,03-01,
400-2002*2,Malus fusca,Oregon Crabapple,,g,The Morton Arboretum,,,,Malus,east section,F-76,41-39,
173-2017*1,Malus pumila 'Liberty',Liberty Common Apple,,g,McKay Nursery Co.,,,,Gateway to Tree Science,,D-104,40-49,
259-2008*8,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,02-10,
85-2001*1,Malus hupehensis,Tea Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Dananzugou village 5 km. northeast of Maerkang",Malus,east section,B-73,74-80,
563-83*2,Malus 'Professor Sprenger',Professor Sprenger Crabapple,,g,The Morton Arboretum,,,,Entrance Drive,,R-42,99-94,
75-90*1,Malus 'Redbird',Redbird Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-70,00-85,
283-93*1,Malus yunnanensis,Yunnan Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-74,69-95,
804-2004*1,Malus zumi 'Calocarpa',Redbud Crabapple,,g,Royal Oaks Nursery,,,,Visitor Center Parking,north central median,S-48,20-44,
565-83*3,Malus pumila,Common Apple,,g,The Morton Arboretum,,,,Malus,east section,E-78,63-00,
77-90*2,Malus 'Serenade',Serenade Crabapple,,g,Klehm Nursery,,,,Malus,east section,H-73,39-32,
105-90*2,Malus zumi 'Calocarpa',Redbud Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,41-00,
76-90*1,Malus 'Satin Cloud',Satin Cloud Crabapple,,g,Klehm Nursery,,,,Malus,east section,G-73,21-48,
73-90*1,Malus 'Red Peacock',Red Peacock Crabapple,,g,Klehm Nursery,,,,Malus,west section,D-70,87-29,
182-92*2,Malus coronaria,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, near Merioneth Road in an area being subdivided for Lincolnshire housing development",Midwest,,M-68,43-42,
374-88*1,Malus 'Cinzam',Crabapple,CINDERELLA,g,Good Earth Co.,,,,Malus,east section,J-73,95-13,
259-2008*7,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,T-46,00-00,
531-82*3,Malus coronaria var. dasycalyx,Wild Sweet Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Bachtell, KR","United States of America, Illinois, Will, Thorn Creek Nature Preserve",Malus,west section,I-69,11-72,
194-2017*3,Malus 'Louisa',Louisa Weeping Crabapple,,g,Johnson's Nursery,,,,Malus,,E-67,08-20,
110-85*2,Malus 'Henningi',Henning Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,X-30,22-87,
102-90*1,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-71,36-63,
191-2017*2,Malus 'Adirondack',Adirondack Crabapple,,g,Johnson's Nursery,,,,Malus,,G-68,50-36,
100-90*2,Malus 'Robinson',Robinson Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,B-70,04-67,
172-2017*3,Malus pumila 'Freedom',Freedom Common Apple,,g,McKay Nursery Co.,,,,Gateway to Tree Science,,D-104,55-71,
105-90*3,Malus zumi 'Calocarpa',Redbud Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-72,60-80,
413-85*2,Malus 'Bob White',Bob White Crabapple,,g,The Morton Arboretum,,,,Malus,east section,D-75,57-15,
73-90*2,Malus 'Red Peacock',Red Peacock Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-70,09-16,
569-83*1,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Malus,west section,F-69,42-47,
396-2004*6,Malus halliana,Hall's Crabapple,,z,The Morton Arboretum,China (PRC),?,"China (PRC), Sichuan, on Emei, Leshan, Qingchengshan, and Jinfoshan mountains and from Jiuzhaigou area",China,south section,W-64,38-26,
25-77*2,Malus,Apple,,u,"U.S.D.A., Plant Introduction Station/Garden",,,,Malus,east section,E-74,39-89,
91-94*5,Malus floribunda,Japanese Flowering Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AZ-48,15-55,
866-2005*2,Malus kansuensis,Gansu Crabapple,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Ling Tan Shen, in Lianhua Shan National Nature Reserve / Sha He Tan",Malus,east section,A-75,53-63,
75-2000*4,Malus 'Mazam',Crabapple,MADONNA,g,"Bailey Nurseries, Inc.",,,,Malus,west section,F-69,54-18,
102-2001*1,Malus hupehensis,Tea Crabapple,,w,"U.S.D.A., A.R.S., Plant Genetic Resources Unit National Clonal germplasm Re",China (PRC),?,"China (PRC), Sichuan, Maerkang, near Songang village 10 km. west of Maerkang",Malus,east section,B-74,65-42,
576-2005*3,Malus 'Sutyzam',Crabapple,SUGAR TYME,g,"Clavey's Nursery, Inc.",,,,Childrens Garden,Curiosity Garden,J-49,75-52,
420-2004*1,Malus 'May's Delight',May's Delight Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,E-69,06-10,
193-2017*2,Malus 'Hargozam',Crabapple,HARVEST GOLD,g,Johnson's Nursery,,,,Malus,,G-68,87-52,
95-90*3,Malus floribunda,Japanese Flowering Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,75-63,
103-90*1,Malus 'Royalty',Royalty Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-72,81-70,
193-2017*1,Malus 'Hargozam',Crabapple,HARVEST GOLD,g,Johnson's Nursery,,,,Malus,,G-68,77-34,
335-2000*4,Malus baccata var. mandshurica,Manchurian Crabapple,,w,The Morton Arboretum Research Program,Russia,,"Russia, Rossiya (Russia), Primor'ye",Malus,east section,F-78,79-30,
130-2004*1,Malus 'Mollie Ann',Mollie Ann Crabapple,,g,Klehm's Song Sparrow Farm and Nursery,,,,Malus,west section,I-71,13-07,
335-2000*2,Malus baccata var. mandshurica,Manchurian Crabapple,,w,The Morton Arboretum Research Program,Russia,,"Russia, Rossiya (Russia), Primor'ye",Malus,east section,F-78,59-30,
88-90*2,Malus 'Red Splendor',Red Splendor Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,17-24,
433-81*18,Malus ioensis,Prairie Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, McHenry, along Leatherleaf Bog Trail in Moraine Hills State Park",Education Support Building,,LL-32,69-05,
1069-57*1,Malus 'Liset',Liset Crabapple,,g,,,,,Malus,east section,C-75,30-95,
40-83*2,Malus baccata 'Gracilis',Dwarf Siberian Crabapple,,g,The Morton Arboretum,,,,Malus,east section,H-74,17-28,
561-83*1,Malus hupehensis,Tea Crabapple,,g,The Morton Arboretum,,,,China,central section,AA-64,80-51,
107-86*3,Malus hupehensis,Tea Crabapple,,g,Moller's Nursery Inc.,,,,West Malus,,AA-30,92-19,
153-64*2,Malus spectabilis 'Riversii',Rivers Chinese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,west section,A-70,30-05,
788-2004*3,Malus 'Tina',Tina Crabapple,,g,Poplar Farms Nursery & Produce Inc.,,,,Visitor Center,,L-48,97-12,
91-90*1,Malus 'Indian Summer',Indian Summer Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,AZ-73,90-88,
565-83*2,Malus pumila,Common Apple,,g,The Morton Arboretum,,,,Malus,east section,E-77,36-97,
281-93*2,Malus spectabilis,Chinese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-74,02-49,
42-83*5,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Oleaceae,,O-38,50-97,
804-2004*4,Malus zumi 'Calocarpa',Redbud Crabapple,,g,Royal Oaks Nursery,,,,Visitor Center Parking,north central median,S-48,45-76,
117-2006*1,Malus transitoria 'Schmidtcutleaf',Crabapple,GOLDEN RAINDROPS,g,"P.P. & O. Nursery, LLC",,,,Malus,east section,I-74,59-04,
19-98*1,Malus sieboldii,Toringo Crabapple,,w,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",Japan,?,"Japan, Tochigi, near Nasu town, Nasu-gun, north of Tokyo",Japan,,BB-60,37-37,
461-85*2,Malus 'Yellow Jewel',Yellow Jewel Crabapple,,g,The Morton Arboretum Research Program,,,,West Malus,,Y-26,03-78,
1355-2004*1,Malus pumila 'McIntosh',Mcintosh Common Apple,,g,Schichtel's Nursery,,,,Childrens Garden,Windmill Garden,I-50,69-61,
259-2008*5,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,S-46,91-08,
414-2004*2,Malus 'Orange Crush',Orange Crush Crabapple,,g,"Bailey Nurseries, Inc.",,,,Malus,west section,H-69,18-63,
197-94*5,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,OO-32,87-12,
110-85*1,Malus 'Henningi',Henning Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,W-30,91-83,
433-81*3,Malus ioensis,Prairie Crabapple,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, McHenry, along Leatherleaf Bog Trail in Moraine Hills State Park",Malus,east section,D-80,35-46,
814-2004*3,Malus 'Adams',Adams Crabapple,,g,"South Branch Nurseries, Inc.",,,,Visitor Center Parking,northwest median,S-48,79-00,
1172-56*2,Malus 'Orange',Orange Crabapple,,g,The Morton Arboretum,,,,Malus,east section,A-76,65-05,
78-2004*1,Malus 'Woven Gold',Woven Gold Crabapple,,g,Klehm's Song Sparrow Farm and Nursery,,,,Malus,west section,I-70,12-83,
259-2008*1,Malus 'Red Peacock',Red Peacock Crabapple,,g,"Beaver Creek Nursery, Inc.",,,,Entrance Drive,,S-45,68-98,
1433-2004*1,Malus 'May's Delight',May's Delight Crabapple,,g,,,,,Entrance Drive,,Q-42,51-62,
64-2006*3,Malus 'Branzam',Crabapple,BRANDYWINE,g,"Bailey Nurseries, Inc.",,,,Malus,east section,H-74,88-00,
281-93*3,Malus spectabilis,Chinese Flowering Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-74,22-68,
19-2007*4,Malus 'Orange',Orange Crabapple,,g,The Morton Arboretum,,,,Malus,east section,A-75,95-86,
211-90*2,Malus spontanea,Hall's Crabapple,,z,The Morton Arboretum,Japan,"Wilson, EH","Japan, on Mount Kirishima, Kyushu",Malus,west section,D-71,08-29,
32-2002*3,Malus spontanea,Hall's Crabapple,,g,"National Institute of Fruit Tree Science Ministry of Agriculture, Forestry",,,,Malus,east section,D-73,78-54,
79-2006*3,Malus 'Pink Satin',Pink Satin Crabapple,,g,Simpson Nursery Co.,,,,Malus,west section,J-70,55-47,
284-97*4,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Thornhill Drive,north side,OO-32,69-37,
67-90*2,Malus 'Kirk',Kirk Crabapple,,g,Klehm Nursery,,,,Malus,west section,E-70,18-35,
277-93*4,Malus pumila 'Apetala',Green-flowered Common Apple,,g,The Morton Arboretum,,,,Malus,east section,A-74,59-66,
59-84*3,Malus tschonoskii,Pillar Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,Z-28,94-33,
99-90*1,Malus 'Molazam',Crabapple,MOLTEN LAVA,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-73,34-47,
73-2000*2,Malus 'Camzam',Crabapple,CAMELOT,g,"Bailey Nurseries, Inc.",,,,West Malus,,Z-30,62-08,
102-2006*2,Malus 'Spring Snow',Spring Snow Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,F-69,90-98,
112-90*2,Malus 'Adams',Adams Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-72,21-51,
103-2003*1,Malus 'David',David Crabapple,,g,The Morton Arboretum,,,,West Malus,,Z-29,02-34,
100-90*1,Malus 'Robinson',Robinson Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,west section,A-70,86-92,
284-97*2,Malus floribunda,Japanese Flowering Crabapple,,g,King Nursery,,,,Thornhill Drive,north side,OO-32,56-37,
277-93*2,Malus pumila 'Apetala',Green-flowered Common Apple,,g,The Morton Arboretum,,,,Malus,west section,AZ-68,97-58,
57-84*1,Malus sargentii,Sargent's Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,W-31,77-20,
363-88*1,Malus 'Professor Sprenger',Professor Sprenger Crabapple,,g,J. Frank Schmidt & Son Co.,,,,West Malus,,X-27,67-46,
462-85*2,Malus sylvestris,French Crabapple,,g,The Morton Arboretum,,,,Malus,east section,E-78,54-32,
197-94*2,Malus floribunda,Japanese Flowering Crabapple,,g,Klehm Nursery,,,,Thornhill Drive,north side,OO-31,81-98,
368-88*1,Malus sieboldii,Toringo Crabapple,,w,Holden Arboretum,Republic of Korea,,"Republic of Korea, Gyeonggi, along a road between Sonjin Dong and Kuju Dong, Ongjin Gun, Taechong Myon, Taechong Island",Malus,east section,C-76,53-27,
333-93*5,Malus baccata,Siberian Crabapple,,w,North America-China Plant Exploration Consortium (NACPEC) 1993 Heilongjiang,China (PRC),,"China (PRC), Heilongjiang Sheng, at Jian Shan Jiao",Korea,,R-66,46-52,
277-2000*2,Malus 'Sinai Fire',Sinai Fire Crabapple,,g,"Bailey Nurseries, Inc.",,,,West Malus,,Y-29,28-50,
400-2002*3,Malus fusca,Oregon Crabapple,,g,The Morton Arboretum,,,,Malus,east section,F-76,72-30,
118-2018*3,Malus 'JFS KW214MX',Crabapple,IVORY SPEAR,g,J. Frank Schmidt & Son Co.,,,,Malus,east section,C-71,46-22,
91-94*1,Malus floribunda,Japanese Flowering Crabapple,,g,Western DuPage Landscaping,,,,Tollway Berm,west berm,AY-48,84-30,
333-2004*1,Malus 'Donald Wyman',Donald Wyman Crabapple,,g,The Morton Arboretum,,,,Malus,west section,C-70,67-78,
400-2002*1,Malus fusca,Oregon Crabapple,,g,The Morton Arboretum,,,,Malus,east section,F-76,41-03,
76-2001*5,Malus orientalis,Caucasian Crabapple,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 Republic of Georgia Con,Georgia,,"Georgia, in Tbilisi area near Kojori, Tskhneti",Malus,east section,E-75,45-45,
590-2005*3,Malus 'Prairifire',Prairifire Crabapple,,g,Mariani Landscape/Design Build Maintenance,,,,Childrens Garden,Edgewood Trail,I-54,00-09,
113-90*3,Malus 'Ralph Shay',Ralph Shay Crabapple,,g,The Morton Arboretum Research Program,,,,Malus,berm section,A-71,25-76,
102-2003*2,Malus 'Alexis',Alexis Crabapple,,g,The Morton Arboretum,,,,Malus,west section,H-70,40-41,
480-82*1,Malus,Apple,,w,Mary Flagler Cary Arboretum Cary Institute of Ecosystem Studies,China (PRC),?,"China (PRC), Hubei",China,central section,BB-66,73-92,
396-2004*3,Malus halliana,Hall's Crabapple,,z,The Morton Arboretum,China (PRC),?,"China (PRC), Sichuan, on Emei, Leshan, Qingchengshan, and Jinfoshan mountains and from Jiuzhaigou area",Malus,east section,D-77,27-54,
